	title	lat	lng
0	Terre Haute	39.424763	-87.416199
1	Terre Haute	39.47357	-87.360922
2	Urbana	40.116581	-88.211444
3	Champaign	40.1104	-88.243823
4	Greenwood	39.635249	-86.126838
5	Indianapolis	39.912076	-86.182423
6	Indianapolis	39.86859	-86.124593
7	Carmel	39.956674	-86.116674
8	Evansville	38.015398	-87.574488
9	Evansville	37.964201	-87.492425
10	Bloomington	40.473969	-88.958857
11	Muncie	40.219051	-85.402681
12	Owensboro	37.755343	-87.059055
13	Springfield	39.782364	-89.668117
14	Springfield	39.801059	-89.686512
15	Louisville	38.285305	-85.580045
16	Louisville	38.219994	-85.626709
17	Louisville	38.245359	-85.564199
18	Louisville	38.289747	-85.509468
19	Morton	40.624669	-89.465003
20	Crown Point	41.429618	-87.364296
21	Saint John	41.447915	-87.469866
22	Merrillville	41.471412	-87.361832
23	Valparaiso	41.459985	-87.080014
24	Chicago Heights	41.479878	-87.637083
25	Schererville	41.491823	-87.470575
26	Dyer	41.491622	-87.496345
27	Richton Park	41.484205	-87.711955
28	Merrillville	41.513147	-87.335544
29	East Peoria	40.664517	-89.581761
30	Valparaiso	41.498906	-87.042119
31	New Lenox	41.482813	-87.984048
32	Mokena	41.504107	-87.891375
33	Olympia Fields	41.527449	-87.695845
34	Frankfort	41.517623	-87.849249
35	Highland	41.54566	-87.47156
36	Elizabethtown	37.757431	-85.8987
37	Gary	41.549478	-87.410419
38	Peoria	40.706548	-89.593638
39	Hobart	41.550521	-87.23922
40	Portage	41.55106	-87.16279
41	Minooka	41.455865	-88.27104
42	Munster	41.563218	-87.50864
43	Homewood	41.557072	-87.673053
44	Country Club Hills	41.55688	-87.714721
45	Lansing	41.572945	-87.558339
46	Shelbyville	38.212982	-85.240943
47	Tinley Park	41.559142	-87.790256
48	Hammond	41.578909	-87.461985
49	Mokena	41.5488	-87.890436
50	Hammond	41.580684	-87.509369
51	Tinley Park	41.565587	-87.849364
52	Joliet	41.521631	-88.124222
53	Peoria	40.743547	-89.631953
54	Elizabethtown	37.710376	-85.875426
55	Joliet	41.522484	-88.155042
56	Oak Forest	41.586454	-87.717177
57	Harvey	41.593865	-87.636727
58	Calumet City	41.600442	-87.541469
59	Peoria	40.787562	-89.603184
60	South Holland	41.60112	-87.60501
61	Markham	41.600569	-87.691736
62	Oak Forest	41.603001	-87.745144
63	Shorewood	41.538173	-88.19982
